osm_id,name,address,city,state,lat,lng,access,holes
way/198446503,Ahwatukee Lakes Golf Club,13431 South 44th Street,Phoenix,AZ,33.329580,-111.988727,,
relation/4292301,Aiken Golf Club,555 Highland Park Avenue,Aiken,,33.560989,-81.738416,,
relation/2788488,Aileron Golf Club,,,,27.035840,-82.043473,,
way/445234120,Ainsworth Municipal Golf Course,,Ainsworth,,42.562569,-99.991010,municipal,
way/1155264854,Airport Driving Range,,,,42.949597,-78.722890,,
way/621714293,Airport Driving Range,,,,43.543833,-72.953358,,
way/701645306,Airport Golf,,,,46.971799,-122.914485,,
relation/11747372,Airport Golf Club,4801 Central Avenue,Cheyenne,WY,41.164430,-104.833385,,
way/341360991,Airport Golf Club,,,,48.090812,-105.573049,,
way/262621848,Airport Golf Course,,,,41.571714,-81.474329,,
way/30595296,Airport Golf Course,900 N. Hamilton Road,Columbus,OH,39.993177,-82.864324,,
way/74271995,Airport National Golf Course,3001 Wright Brothers Blvd East,Cedar Rapids,IA,41.887055,-91.623245,,
way/136670192,Airway Meadows Golf Club,,,,43.183122,-73.631469,,
way/42013666,Airways Golf Course,5440 E Airways Blvd,Fresno,CA,36.777374,-119.706271,,
way/43440682,Airways Golf Course,1070 South Grand Street,West Suffield,CT,41.959785,-72.704803,,
way/263828486,Ajo Country Club and Golf Course,77 Mead Road,Ajo,AZ,32.449961,-112.850322,,
way/264216800,Ak-Chin Southern Dunes Golf Club,48456 West Highway 238,Maricopa,AZ,33.083072,-112.089017,,
way/478929310,Akron Golf Club,941 Country Club Drive,Akron,,42.819134,-96.559785,,
way/41997754,Ala Wai Golf Course,404 Kapahulu Avenue,Honolulu,HI,21.280173,-157.819176,,
relation/6411268,Alamance Country Club,2402 Pineway Drive,Burlington,,36.091821,-79.490456,,
way/138756629,Alapaha Golf Link & Driving Range,,,,41.948095,-74.016315,,
relation/4052505,Alaqua Country Club,2091 Alaqua Drive,Longwood,,28.746314,-81.398559,,
way/294258360,Albany 18 Hole Public Course,,,,45.624884,-94.563371,,
way/139705773,Albany Country Club,300 Wormer Road,Voorheesville,NY,42.677270,-73.919657,,
way/763503560,Albany Golf Club,,,,32.734302,-99.301062,,
way/129296323,Albany Golf Course,,,,44.643091,-123.102131,,
way/244377875,Albertville Golf and Country Club,,,,34.297150,-86.199239,,
way/477610759,Albia Golf and Leisure,300 Country Club Road,Albia,,41.031892,-92.785287,,
way/296308068,Albion Country Club,2419 State Highway 91,Albion,,41.686924,-98.020682,,
way/807580095,Albion Ridges Golf Course,,,,45.181387,-94.048863,,
way/48385731,Albuquerque Country Club,,,,35.090593,-106.673851,private,
way/141392094,Alburg Golf Links,,,,44.909460,-73.302860,,
way/26444496,Aldeen Golf Club,,,,42.291436,-88.988451,,
way/551487869,Alderbrook Golf Course,,,,45.511176,-123.857785,,
relation/7873853,Alexandria Golf Club,2300 N Nokomis NE,Alexandria,MN,45.916931,-95.373628,,
way/321876930,Alfred E. Smith Golf Course,,,,40.912809,-73.278718,,
way/84983243,Alfred MacDonald Golf Course,840 Yale Ave,Wichita,KS,37.703048,-97.288794,,
way/34772857,Alfred Tup Holmes Golf Course,2300 Wilson Dr. SW,Atlanta,GA,33.708915,-84.463649,,
way/1132500301,Algona Country Club,,,,43.075461,-94.253406,,
way/43586651,Algonkian Regional Park Golf Course,,,,39.057586,-77.375140,,
way/42765424,Algonquin Golf Club,,,,38.589484,-90.373642,,
way/24684508,Alhambra Golf Course,630 South Almansor Street,Alhambra,CA,34.089125,-118.112855,,
relation/1833988,Aliante Golf Club,,,,36.298161,-115.181956,private,
way/230769962,Alisal Ranch Course,,,,34.573701,-120.145175,,
way/65251672,Aliso Viejo Resort and Golf Course,,,,33.602126,-117.727990,,
way/632656515,All Seasons Driving Range,,,,40.003702,-82.002341,,
way/237469137,All Vets Golf Course,,,,43.138276,-93.416398,,
node/6110180969,All Weather Golf,634 North Pennsylvania Avenue,Wilkes-Barre,PA,41.253697,-75.861579,,
way/252895503,Allegheny Country Club,250 Country Club Road,Sewickley,PA,40.561562,-80.162253,,
way/623647896,Allen County Country Club,,,,37.925842,-95.356523,,
way/29695489,Allendale Country Club,1047 Allen Street,North Dartmouth,,41.625362,-70.973246,,
way/23143257,Allenmore Golf Course,,,,47.239119,-122.472250,,
way/40181902,Allentown Municipal Golf Course,,,,40.599407,-75.537581,municipal,
way/305214815,Allen’s Golf Course,2780 Sacramento Drive,,CA,40.525217,-122.374447,,
way/617216486,Alley Pond Golf Center,,,,40.765146,-73.749087,,
way/361885248,Alliance Country Club,725 East Milton Street,Alliance,,40.890742,-81.095558,,
way/822291424,Alliance Municipal Golf Course,,,,42.067966,-102.810517,municipal,
way/43436802,Alling Memorial Golf Course,35 Eastern Street,New Haven,CT,41.308445,-72.867254,,
way/445854822,Alma Municipal Golf Course,102 Dick Brown Drive,Alma,NE,40.099655,-99.376106,municipal,
relation/3569743,Almaden Golf and Country Club,6663 Hampton Drive,San Jose,CA,37.211580,-121.868776,,
way/45306823,Alondra Park Golf Course,16400 South Prairie Avenue,Lawndale,CA,33.882672,-118.339760,,
way/292986579,Alpena Golf Club,1135 Golf Course Road,Alpena,MI,45.090955,-83.468434,,
relation/222269,Alpine Country Club,80 Anderson Avenue,Demarest,NJ,40.948765,-73.943006,,
way/141111875,Alpine Country Club,,,,41.781940,-71.554349,,
way/142506515,Alpine Country Club,1011 Loop Road,Alpine,TX,30.368395,-103.660120,,
way/33167195,Alpine Country Club,5000 West Alpine Country Club Lane,Highland,Utah,40.426986,-111.779125,private,
way/263829849,Alpine Golf & Country Club,58 County Road 2122,Alpine,AZ,33.812897,-109.107238,,
way/293637034,Alpine Golf Club,6320 Alpine Avenue Northwest,Comstock Park,MI,43.078313,-85.686124,,
way/264964469,Alpine Golf Course,2385 Smelley Road,Longview,TX,32.534355,-94.698841,,
way/299070913,Alpine Lake Resort Golf Course,,,,39.461641,-79.499726,,
way/314515644,Alpine Meadows Golf Course,66098 Golf Course Road,Enterprise,OR,45.433384,-117.295303,,
relation/12166431,Alpine Resort Golf Course,7715 Alpine Road,Egg Harbor,,45.042764,-87.297137,,
way/817423771,Alpine Target Golf Center,,,,32.534813,-94.704775,,
way/758644689,Alpine Valley Resort,,,,42.737886,-88.431361,,
way/296975094,Alta Golf and Country Club,,,,42.668932,-95.296102,,
relation/5959483,Alta Lake Golf Resort,,,,48.037819,-119.936249,,
relation/2989787,Alta Mesa Golf Club,1460 North Alta Mesa Drive,Mesa,AZ,33.440711,-111.712943,private,
relation/17521279,Alta Sierra Country Club,,,,39.137438,-121.049495,,
relation/3568943,Alta Vista Country Club,777 E. Alta Vista Street,Placentia,CA,33.876799,-117.848607,private,
way/70943563,Altadena Golf Course,1456 E Mendocino St,Altadena,CA,34.182545,-118.119559,,
way/267086223,Alto Lakes Golf & Country Club,,,,33.400940,-105.665133,private,
way/178191915,Alwyn Downs Golf Club,,,,42.256997,-84.958132,,
way/731221353,Amana Colonies Golf Course,,,,41.813986,-91.908922,,
way/428057395,Amarillo Country Club,4800 Bushland Boulevard,Amarillo,TX,35.209886,-101.889098,,
way/492879856,Amaze Zing Golf,,,,43.054258,-124.131094,,
way/333461345,Amberwood Golf Course (The Villages),7415 SE 172nd Legacy Ln,The Villages,FL,28.972662,-82.033341,,
way/1089562431,Amelia Golf & Country Club,,,,37.352530,-77.964816,,
way/91776833,Amelia River Club,4477 Buccaneer Trail,Fernandina Beach,FL,30.603840,-81.461863,,
way/505656427,American Classic Golf Club,,,,38.735145,-75.145022,,
way/679265890,American Classic Golf Club,18485 Bethpage Drive,Lewes,DE,38.736287,-75.147729,,
way/293718184,American Dunes Golf Club,17000 Lincoln Street,Grand Haven,MI,42.995138,-86.210828,,
way/372534251,American Falls Golf Club,,,,42.781510,-112.859946,,
relation/4056444,American Golf Club,100 Woodland Drive,Vero Beach,,27.598801,-80.376158,,
way/51242040,American Lake Veterans Golf Course,9600 Veterans Drive Southwest,Lakewood,WA,47.141052,-122.575115,,
node/8360972025,American Legion Country Club,,,,40.365634,-77.822776,,
way/478329415,American Legion Country Club,1800 South Elm Street,Shenandoah,,40.746590,-95.375302,,
way/149092035,American Legion Golf Course,,,,42.032107,-92.927175,,
way/152635627,American Legion Golf Course,,,,40.457976,-86.122879,,
way/295678312,American Legion Golf Course,58 South State Route 157,Edwardsville,IL,38.804231,-89.965028,,
way/386240532,American Legion Golf Course,,,,39.700276,-91.401224,,
relation/7145495,Amery Golf Club,,,,45.300688,-92.374999,,
way/157010125,Ames Golf & Country Club,5752 George Washington Carver Avenue,Ames,,42.074471,-93.654020,,
way/301867063,Amesbury Golf and Country Club,,,,42.861913,-70.912074,,
way/136707722,Amherst Audubon Golf Course,,,,42.994902,-78.769267,,
relation/12935336,Amherst Country Club,72 Ponemah Road,Amherst,NH,42.828414,-71.605871,,
way/29906730,Amherst Golf Club,365 South Pleasant Street,Amherst,,42.363063,-72.526508,,
way/533473062,Amory Golf Course,,,,34.001495,-88.471652,,
way/124813362,Amsterdam Municipal Golf Course,,,,42.961485,-74.201287,municipal,
way/296526483,Anaconda Country Club,1521 Country Club Road,Anaconda,MT,46.113136,-112.835833,,
way/31711741,Anaconda Hills Golf Course,2315 Smelter Avenue,Black Eagle,MT,47.527626,-111.267729,,
way/218011711,Anaheim Hills Golf Course,6501 East Nohl Ranch Road,Anaheim,,33.843107,-117.764914,,
relation/1405040,Ancala Country Club,,,,33.595590,-111.828671,private,
way/29357224,Anchorage Golf Course,3651 O'Malley Road,Anchorage,AK,61.126354,-149.814801,public,
way/100290604,Anchored Soul Golf,,,,39.950174,-76.635708,,
way/1192217323,Ancil Hoffman Golf Course,6700 Tarshes Drive,Carmichael,CA,38.609743,-121.314428,,
relation/19087248,Andalusia Country Club,,,,31.316889,-86.514466,,
way/363463332,Anderson Country Club,602 Northshore Boulevard,Anderson,,40.125584,-85.687125,,
relation/6392871,Anderson Creek Club,125 Whispering Pines Drive,Spring Lake,,35.290307,-78.970105,,
way/295902620,Anderson Fields Golf Course,1901 North Bloomington Street,Streator,,41.145815,-88.833528,,
way/264546240,Andover Country Club,,,,42.669537,-71.168789,,
relation/3959251,Andover Golf & Country Club,3450 Todds Road,Lexington,,38.002722,-84.414454,,
way/1036443730,Andover Public Golf Course,,,,41.594321,-80.566995,,
way/1194838413,Andrew Johnson Golf Club,,,,36.132181,-82.865258,,
way/32891385,Andrews County Golf Course,920 Golf Course Road,Andrews,TX,32.326984,-102.534760,,
relation/1285319,Andrews East Course,,,,38.789150,-76.881068,,
relation/1285320,Andrews South Course,,,,38.786960,-76.872386,,
way/1206422204,Androscoggin Valley Country Club,,,,44.387406,-71.156743,,
way/800853167,Anetsberger Golf Course,1750 Techny Road,Northbrook,IL,42.120997,-87.823161,,
way/1343872798,Angel Fire Country Club,100 Country Club Drive,Angel Fire,NM,36.374692,-105.292107,,
way/452911791,Angel Hill GC,,,,40.427976,-86.597347,,
way/452911792,Angel Hill GC,,,,40.432843,-86.599431,,
way/1378768387,Angel Park Golf Club,100 South Rampart Boulevard,Las Vegas,NV,36.173665,-115.282825,,
way/1382635695,Angel Park Golf Club - Palm,,,,36.181253,-115.284104,,
way/31569767,Angeles National Golf Club,9401 Foothill Blvd.,Sunland,CA,34.268634,-118.329596,,
way/294778884,Angels Crossing Golf Course,3600 East W Avenue,Vicksburg,MI,42.106877,-85.542761,,
way/137464924,Anglebrook Golf Club,100 Route 202,Lincolndale,,41.315121,-73.725238,resort,
way/436648206,Angushire Golf Club,,,,45.546572,-94.210836,,
way/474079222,Angushire Golf Club,,,,45.543602,-94.207589,,
way/37814855,Ankeny Golf and Country Club,314 S.W. Irvinedale Drive,Ankeny,IA,41.727310,-93.643305,,
way/294882605,Ann Arbor Country Club,4699 East Loch Alpine Drive,Ann Arbor,MI,42.342965,-83.821140,,
way/263921125,Ann Arbor Golf and Outing Club,,,,42.262385,-83.747694,,
way/196873674,Annandale Country Club,1 North San Rafael Avenue,Pasadena,CA,34.145577,-118.176238,,
relation/3990650,Annandale Golf Club,100 Annandale Golf Club Drive,Madison,,32.495106,-90.195667,,
way/1466372251,Annbriar Golf Course,1524 Birdie Lane,Waterloo,IL,38.351506,-90.201352,,
way/266490129,Anne Arundell Manor,,,,38.854902,-76.667697,,
way/542172234,Anneberg Golf Course,,,,33.776481,-116.412067,,
way/112355260,Anniston Country Club,,,,33.649139,-85.816370,,
relation/143001,Ansley Golf Club,,,,33.802180,-84.376781,,
way/1109059683,Ansley Golf Club - Settindown,1608 Settindown Drive,,,34.103363,-84.422375,,
way/1526862543,Anson Point Golf Course,,,,32.151865,-80.938047,,
way/265942998,Antelope Greens Golf Course,2721 Elverta Road,Antelope,CA,38.719075,-121.398319,,
relation/3534575,Antelope Hills Golf Course,1 Perkins Drive,Prescott,AZ,34.640503,-112.424363,,
way/1268438045,Antelope Hills Golf Course,126 Clubhouse Drive,Dubois,WY,43.552194,-109.664183,,
way/208642350,Antelope Valley Country Club,,,,34.609362,-118.139001,private,
relation/3947490,Anthem Country Club,1 Club Side Drive,Henderson,,35.966066,-115.084221,private,
relation/1442216,Anthem Golf & Country Club,2708 West Anthem Club Drive,Anthem,AZ,33.861897,-112.107725,,
way/296975095,Anthon Golf Club,,,,42.380206,-95.870999,,
way/267090273,Anthony Country Club,2100 West Ohara Road,Anthony,NM,32.021340,-106.649829,,
relation/4087051,Antioch Golf Club,40150 North Route 59,Antioch,IL,42.444601,-88.118463,,
way/293247445,Antioch Hills Golf Club,5441 West M-115,Mesick,MI,44.401636,-85.690072,,
relation/3232693,Antler Creek Golf Course,9650 Antler Creek Drive,,CO,38.973409,-104.599417,,
way/293134257,Antrim Dells,,,MI,45.169035,-85.353997,,
way/1546527962,AP Greens,,,,42.866384,-85.852589,,
way/160226750,Apache Creek Golf Club,3401 South Ironwood Drive,Apache Junction,AZ,33.382468,-111.559018,,
way/263830019,Apache Stronghold Golf Club,5 U.S. 70,San Carlos,AZ,33.366070,-110.673413,,
relation/3521473,Apache Wells Golf Club,5601 East Hermosa Vista Drive,Mesa,AZ,33.459138,-111.710712,,
way/1014448038,Apalachin Golf Course,607 South Apalachin Road,Apalachin,NY,42.012248,-76.170861,,
relation/14936825,Apawamis Golf Club,,,,40.988380,-73.695833,,
way/463890497,Aplington Recreation Complex,,,,42.581879,-92.895602,,
relation/3297162,Apostle Highlands Golf Course,34745 Madeline Trail,Bayfield,WI,46.809590,-90.847019,,
relation/3935319,Apple Canyon Lake Golf Course,14A200 East Apple Canyon Road,Apple River,,42.415446,-90.153997,,
way/48057195,Apple Creek Country Club,,,,46.805539,-100.647974,,
node/13319745389,Apple Creek Golf Course,,,,37.630781,-89.224609,,
node/8784136199,Apple Creek Golf Course,1230 Mariposa Road,DeRuyter,NY,42.720012,-75.812986,,
way/1228857268,Apple Greens East,161 South Street,Highland,NY,41.716727,-74.042793,,
way/233807750,Apple Greens Golf Course,161 South Street,Highland,NY,41.720823,-74.051635,,
way/320123435,Apple Hill Golf Club,69 East Road,East Kingston,,42.922558,-70.980773,,
way/1180963721,Apple Island Resort Golf Club,,,,44.636349,-73.272127,,
way/1066874535,Apple Mountain Golf Club,,,,34.635970,-83.457809,,
way/125602596,Apple Mountain Golf Course,3455 Carson Road,Camino,CA,38.751445,-120.713942,,
way/293379095,Apple Mountain Golf Course,4519 North River Road,Freeland,MI,43.473666,-84.106874,,
node/13950486645,Apple Mountain Golf Resort,3455 Carson Road,Camino,CA,38.749655,-120.709686,,
relation/8064375,Apple Rock,,,,30.547886,-98.400056,,
relation/10698529,Apple Tree Golf Course & Resort,,,,46.562712,-120.631769,,
way/299169414,Apple Valley Country Club Golf Course,,,,39.401111,-80.175187,,
way/651730172,Apple Valley Golf Club,433 Clubhouse Drive,Howard,OH,40.445977,-82.358791,,
relation/4077563,Apple Valley Golf Course,15200 Rancherias Road,Apple Valley,,34.523337,-117.230847,,
way/293249043,Apple Valley Golf Course,,,,44.307559,-84.208828,,
way/297775536,Apple Valley Golf Course,316 Pinewoods Road,Lewiston,ME,44.035425,-70.143682,,
way/723774476,Apple Valley Golf Course,309 Winesap Road,Lake Lure,NC,35.453861,-82.169327,,
way/690966995,Applebrook Golf Club,100 Line Road,Malvern,PA,40.000829,-75.533060,,
node/13069462116,Applecross Country Club,,,,40.026499,-75.778230,,
node/8197911202,Appleton Indoor Golf,,,,44.260102,-88.457408,,
way/1502727726,Applewood Course,,,,33.196037,-82.073875,,
way/33195406,Applewood Golf Course,,,,39.765254,-105.156744,,
way/296377718,Applewood Hills Golf Course,11840 60th Street North,Stillwater,,45.039197,-92.869065,,
relation/3571053,Aptos Seascape Golf Course,610 Clubhouse Drive,Aptos,CA,36.961523,-121.883422,,
relation/4055120,Aquarina Country Club,7500 South Highway A1A,Melbourne Beach,,27.924044,-80.487343,,
relation/13805080,Aquia Harbour Golf Club,204 Bow Cove,,,38.470774,-77.373729,,
way/90966780,Arbor Hills Golf Club,,,,42.229169,-84.487225,,
way/442097372,Arbor Pointe Golf Club,8919 Cahill Avenue,Inver Grove Heights,,44.821334,-93.044653,,
way/442097376,Arbor Pointe Golf Club,8919 Cahill Avenue,Inver Grove Heights,,44.825670,-93.048546,,
way/619274644,Arbor Trace Golf Club,2500 East 550 North,Marion,IN,40.629430,-85.628181,,
way/44388854,Arbuckle Golf Course,,,,39.008462,-122.140982,,
way/693998226,Arcadia Bluffs - South Course,14710 Northwood Highway,Arcadia,MI,44.437353,-86.215039,,
way/293247442,Arcadia Bluffs Golf Club,14710 Northwood Highway,Arcadia,MI,44.457526,-86.243129,,
way/292500394,Arcadia Country Club,340 Golf Lane,Arcadia,,44.252805,-91.477382,,
way/293917776,Arcadia Hills Golf Club,3801 Haines Road,Attica,MI,43.081022,-83.196683,,
way/468764356,Arcadia Municipal Golf Course,1769 Northeast Livingston Street,Arcadia,FL,27.241411,-81.844910,municipal,
way/305753776,Arcadia Par 3 Golf Course,620 East Live Oak Avenue,Arcadia,,34.102373,-118.017660,,
way/479391650,Arcadian Shores Golf Club,,,,33.777952,-78.778817,,
way/1156225128,Archer City Country Club,1007 South Ash Street,Archer City,TX,33.583558,-98.633966,,
way/42062157,Architects Golf Club,,,,40.709627,-75.147133,,
way/41914877,Arcola Country Club,Paramus Road,Paramus,,40.927834,-74.082738,,
relation/4120011,Ardsley Country Club,North Mountain Drive,Ardsley-on-Hudson,,41.023101,-73.858861,,
way/45751311,Argyle Country Club,14600 Argyle Club Lane,Silver Spring,MD,39.095920,-77.052779,private,
way/156824815,Arizona Biltmore Estates Course,2400 East Missouri Avenue,Phoenix,AZ,33.517429,-112.021581,,
relation/3524732,Arizona Biltmore Links Course,2400 East Missouri Avenue,Phoenix,AZ,33.521514,-112.020643,,
relation/3544865,Arizona City Golf Course,13939 South Cleator Road,Arizona City,AZ,32.747319,-111.663229,,
way/61418760,Arizona Country Club,,,,33.485482,-111.956481,private,
relation/3544973,Arizona Golf Resort,425 South Power Road,Mesa,AZ,33.401193,-111.679093,,
node/9583952422,Arizona Grand Golf Course,4852 East Euclid Avenue,Phoenix,AZ,33.366995,-111.971677,,
way/1379363588,Arizona Grand Golf Course,8000 S. Arizona Grand Pkwy,Phoenix,AZ,33.365990,-111.974009,,
relation/2933251,Arizona Grand Resort,8000 South Arizona Grand Parkway,Phoenix,AZ,33.367031,-111.973721,,
relation/3524420,Arizona National Golf Club,9777 East Sabino Greens Drive,Tucson,AZ,32.302700,-110.780580,,
way/171105188,Arizona Traditions Golf Club,17225 North Citrus Road,Surprise,AZ,33.643646,-112.444116,,
way/203435047,Arkansas City Country Club,,,,37.074008,-97.008794,,
way/363657192,Arlington Greens Golf Course,200 Arlington Drive,Granite City,,38.710730,-90.033543,,
way/110603939,Arlington Lakes Golf Course,1211 South New Wilke Road,Arlington Heights,IL,42.063246,-87.999241,,
way/109198342,Arlington Park Golf Course,,,,41.128814,-85.031480,,
relation/4040289,Arlington Ridge Golf Club,4463 Arlington Ridge Boulevard,Leesburg,FL,28.734986,-81.884395,,
way/79882317,Armco Park Golf Course,,,,39.454012,-84.283461,,
way/5120636,Armitage Golf Club,800 Orr's Bridge Road,Mechanicsburg,,40.263028,-76.960448,,
way/44818252,Army Navy Country Club,,,,38.855993,-77.077693,,
way/49301295,Army Navy Country Club,3315 Old Lee Highway,Fairfax,,38.856140,-77.277735,,
way/389121259,Arnold Golf Course,,,TN,35.353521,-86.172151,public,
way/487441984,Arnold Golf Course,,,,41.405285,-100.187121,,
relation/4082110,Arnold Palmer Course,,,,33.792341,-116.423769,,
relation/5940985,Arnold Palmer Golf Course (PGA West),,,,33.649521,-116.271795,,
way/8075973,Arnold's Golf Course,490B West 3rd Street,Nescopeck,,41.023529,-76.326967,,
relation/9474270,Aronimink Golf Club,,,,40.008477,-75.410038,,
way/255626994,Arrowhead Club,,,,44.052173,-103.268223,private,
relation/1921454,Arrowhead Country Club,19888 North 73rd Avenue,Glendale,AZ,33.660077,-112.215504,private,
relation/6544171,Arrowhead Country Club,,,,33.705432,-78.951301,,
relation/6997762,Arrowhead Country Club,50 Ocala Drive,Montgomery,,32.378310,-86.140305,,
way/230368164,Arrowhead Country Club,3433 Parkside Drive,San Bernardino,CA,34.153263,-117.274785,private,
way/312446805,Arrowhead Country Club,,,,40.925288,-89.604249,,
way/782253170,Arrowhead Country Club,260 Golf Course Road,Jasper,GA,34.450094,-84.413166,,
way/1082775452,Arrowhead Golf Club,,,,43.016051,-78.524191,,
way/111668220,Arrowhead Golf Club,,,,45.200118,-122.587047,,
way/271669663,Arrowhead Golf Club,,,,40.864192,-81.408979,,
way/293487668,Arrowhead Golf Club,1201 Gun Club Road,Caro,MI,43.485391,-83.376860,,
way/293637035,Arrowhead Golf Club,2170 Alden Nash Avenue Northeast,Lowell,MI,43.004984,-85.367638,,
way/296786618,Arrowhead Golf Club,10850 West Sundown Trail,Littleton,CO,39.453297,-105.081683,,
way/479745688,Arrowhead Golf Club,,,,40.378252,-84.387295,,
way/1202375064,Arrowhead Golf Course,,,,43.126191,-76.024706,,
way/1211720514,Arrowhead Golf course,,,,40.308437,-75.759943,,
way/140598551,Arrowhead Golf Course,,,,26.262998,-81.708928,,
way/264186351,Arrowhead Golf Course,1901 North Warner Street,Alturas,CA,41.503060,-120.562072,,
way/304084427,Arrowhead Golf Course,,,,39.867829,-85.733211,,
way/31910491,Arrowhead Golf Course,,,,41.825757,-88.133665,,
way/761913939,Arrowhead Golf Course,,,,43.254754,-88.208735,,
